,Property Address,Measurements,Listing Price
0,"3643 Prince Albert Street

Fraser East
Vancouver",4 bd|2 ba|1916 sf|30 x 103 ft,"$1,399,000"
1,"4569 Commercial Street

Victoria East
Vancouver",6 bd|4 ba|1978 sf|31 x 105 ft,"$1,598,000"
2,"5930 Culloden Street

Knight
Vancouver",6 bd|4 ba|2552 sf|42 x 118 ft,"$1,299,000"
3,"895 E 58th Avenue

South Vancouver
Vancouver",7 bd|4 ba|2703 sf|116 x 33 ft,"$1,799,000"
4,"6361 Larch Street

Kerrisdale
Vancouver",4 bd|3 ba|1979 sf|47 x 135 ft,"$2,999,000"
5,"2024 Adanac Street

Hastings
Vancouver",3 bd|3 ba|2688 sf|33 x 124 ft,"$1,749,000"
6,"6350 Alma Street

Southlands
Vancouver",3 bd|4 ba|2734 sf|50 x 136 ft,"$3,198,000"
7,"1417 E 21st Avenue

Knight
Vancouver",3 bd|3 ba|2511 sf|33 x 124 ft,"$1,488,000"
8,"4859 Prince Edward Street

Main
Vancouver",3 bd|3 ba|2291 sf|36 x 183 ft,"$2,389,000"
9,"772 E 33rd Avenue

Fraser East
Vancouver",7 bd|7 ba|3120 sf|33 x 105 ft,"$2,288,000"
10,"4385 Locarno Crescent

Point Grey
Vancouver",3 bd|5 ba|3333 sf|66 x 0 ft,"$4,990,000"
11,"1241 E 13th Avenue

Mount Pleasant East
Vancouver",5 bd|4 ba|2405 sf|50 x 122 ft,"$2,129,000"
12,"2280 E 38th Avenue

Victoria East
Vancouver",4 bd|2 ba|1790 sf|40 x 141 ft,"$1,650,000"
13,"5887 Adera Street

South Granville
Vancouver",5 bd|7 ba|5056 sf|75 x 125 ft,"$10,888,000"
14,"3292 W 37th Avenue

Kerrisdale
Vancouver",6 bd|6 ba|3420 sf|33 x 130 ft,"$3,499,000"
15,"1227 E 14th Avenue

Mount Pleasant East
Vancouver",6 bd|3 ba|2895 sf|33 x 122 ft,"$1,498,000"
16,"3827 W 15th Avenue

Point Grey
Vancouver",5 bd|4 ba|3403 sf|49 x 122 ft,"$3,575,000"
17,"5512 Wallace Street

Southlands
Vancouver",5 bd|7 ba|5019 sf|73 x 116 ft,"$6,680,000"
18,"554 W 22nd Avenue

Cambie
Vancouver",6 bd|6 ba|3140 sf|49 x 109 ft,"$3,300,000"
19,"4573 W 2nd Avenue

Point Grey
Vancouver",5 bd|4 ba|3184 sf|33 x 108 ft,"$5,500,000"
20,"6137 Collingwood Place

Southlands
Vancouver",4 bd|3 ba|2846 sf|70 x 144 ft,"$3,199,000"
21,"3643 Prince Albert Street

Fraser East
Vancouver",4 bd|2 ba|1916 sf|30 x 103 ft,"$1,399,000"
22,"4569 Commercial Street

Victoria East
Vancouver",6 bd|4 ba|1978 sf|31 x 105 ft,"$1,598,000"
23,"5930 Culloden Street

Knight
Vancouver",6 bd|4 ba|2552 sf|42 x 118 ft,"$1,299,000"
24,"895 E 58th Avenue

South Vancouver
Vancouver",7 bd|4 ba|2703 sf|116 x 33 ft,"$1,799,000"
25,"6361 Larch Street

Kerrisdale
Vancouver",4 bd|3 ba|1979 sf|47 x 135 ft,"$2,999,000"
26,"2024 Adanac Street

Hastings
Vancouver",3 bd|3 ba|2688 sf|33 x 124 ft,"$1,749,000"
27,"6350 Alma Street

Southlands
Vancouver",3 bd|4 ba|2734 sf|50 x 136 ft,"$3,198,000"
28,"1417 E 21st Avenue

Knight
Vancouver",3 bd|3 ba|2511 sf|33 x 124 ft,"$1,488,000"
29,"4859 Prince Edward Street

Main
Vancouver",3 bd|3 ba|2291 sf|36 x 183 ft,"$2,389,000"
30,"772 E 33rd Avenue

Fraser East
Vancouver",7 bd|7 ba|3120 sf|33 x 105 ft,"$2,288,000"
31,"4385 Locarno Crescent

Point Grey
Vancouver",3 bd|5 ba|3333 sf|66 x 0 ft,"$4,990,000"
32,"1241 E 13th Avenue

Mount Pleasant East
Vancouver",5 bd|4 ba|2405 sf|50 x 122 ft,"$2,129,000"
33,"2280 E 38th Avenue

Victoria East
Vancouver",4 bd|2 ba|1790 sf|40 x 141 ft,"$1,650,000"
34,"5887 Adera Street

South Granville
Vancouver",5 bd|7 ba|5056 sf|75 x 125 ft,"$10,888,000"
35,"3292 W 37th Avenue

Kerrisdale
Vancouver",6 bd|6 ba|3420 sf|33 x 130 ft,"$3,499,000"
36,"1227 E 14th Avenue

Mount Pleasant East
Vancouver",6 bd|3 ba|2895 sf|33 x 122 ft,"$1,498,000"
37,"3827 W 15th Avenue

Point Grey
Vancouver",5 bd|4 ba|3403 sf|49 x 122 ft,"$3,575,000"
38,"5512 Wallace Street

Southlands
Vancouver",5 bd|7 ba|5019 sf|73 x 116 ft,"$6,680,000"
39,"554 W 22nd Avenue

Cambie
Vancouver",6 bd|6 ba|3140 sf|49 x 109 ft,"$3,300,000"
40,"6137 Collingwood Place

Southlands
Vancouver",4 bd|3 ba|2846 sf|70 x 144 ft,"$3,199,000"
